Mês,Variável,Valor,Un
abril 1981,IPCA - Variação acumulada em 6 meses,44.48,%
abril 1981,IPCA - Variação acumulada no ano,27.04,%
abril 1981,IPCA - Variação acumulada em 12 meses,103.27,%
maio 1981,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000203560,Número-índice
maio 1981,IPCA - Variação mensal,5.56,%
maio 1981,IPCA - Variação acumulada em 3 meses,17.97,%
maio 1981,IPCA - Variação acumulada em 6 meses,42.97,%
maio 1981,IPCA - Variação acumulada no ano,34.10,%
maio 1981,IPCA - Variação acumulada em 12 meses,103.00,%
junho 1981,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000214792,Número-índice
junho 1981,IPCA - Variação mensal,5.52,%
junho 1981,IPCA - Variação acumulada em 3 meses,18.58,%
junho 1981,IPCA - Variação acumulada em 6 meses,41.50,%
junho 1981,IPCA - Variação acumulada no ano,41.50,%
junho 1981,IPCA - Variação acumulada em 12 meses,103.41,%
julho 1981,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000228229,Número-índice
julho 1981,IPCA - Variação mensal,6.26,%
julho 1981,IPCA - Variação acumulada em 3 meses,18.35,%
julho 1981,IPCA - Variação acumulada em 6 meses,40.73,%
julho 1981,IPCA - Variação acumulada no ano,50.35,%
julho 1981,IPCA - Variação acumulada em 12 meses,104.78,%
agosto 1981,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000240772,Número-índice
agosto 1981,IPCA - Variação mensal,5.50,%
agosto 1981,IPCA - Variação acumulada em 3 meses,18.28,%
agosto 1981,IPCA - Variação acumulada em 6 meses,39.53,%
agosto 1981,IPCA - Variação acumulada no ano,58.62,%
agosto 1981,IPCA - Variação acumulada em 12 meses,105.85,%
setembro 1981,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000253429,Número-índice
setembro 1981,IPCA - Variação mensal,5.26,%
setembro 1981,IPCA - Variação acumulada em 3 meses,17.99,%
setembro 1981,IPCA - Variação acumulada em 6 meses,39.91,%
setembro 1981,IPCA - Variação acumulada no ano,66.95,%
setembro 1981,IPCA - Variação acumulada em 12 meses,107.88,%
outubro 1981,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000266297,Número-índice
outubro 1981,IPCA - Variação mensal,5.08,%
outubro 1981,IPCA - Variação acumulada em 3 meses,16.68,%
outubro 1981,IPCA - Variação acumulada em 6 meses,38.09,%
outubro 1981,IPCA - Variação acumulada no ano,75.43,%
outubro 1981,IPCA - Variação acumulada em 12 meses,99.52,%
novembro 1981,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000280335,Número-índice
novembro 1981,IPCA - Variação mensal,5.27,%
novembro 1981,IPCA - Variação acumulada em 3 meses,16.43,%
novembro 1981,IPCA - Variação acumulada em 6 meses,37.72,%
novembro 1981,IPCA - Variação acumulada no ano,84.68,%
novembro 1981,IPCA - Variação acumulada em 12 meses,96.89,%
dezembro 1981,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000296946,Número-índice
dezembro 1981,IPCA - Variação mensal,5.93,%
dezembro 1981,IPCA - Variação acumulada em 3 meses,17.17,%
dezembro 1981,IPCA - Variação acumulada em 6 meses,38.25,%
dezembro 1981,IPCA - Variação acumulada no ano,95.62,%
dezembro 1981,IPCA - Variação acumulada em 12 meses,95.62,%
janeiro 1982,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000317628,Número-índice
janeiro 1982,IPCA - Variação mensal,6.97,%
janeiro 1982,IPCA - Variação acumulada em 3 meses,19.28,%
janeiro 1982,IPCA - Variação acumulada em 6 meses,39.17,%
janeiro 1982,IPCA - Variação acumulada no ano,6.97,%
janeiro 1982,IPCA - Variação acumulada em 12 meses,95.86,%
fevereiro 1982,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000338708,Número-índice
fevereiro 1982,IPCA - Variação mensal,6.64,%
fevereiro 1982,IPCA - Variação acumulada em 3 meses,20.82,%
fevereiro 1982,IPCA - Variação acumulada em 6 meses,40.68,%
fevereiro 1982,IPCA - Variação acumulada no ano,14.06,%
fevereiro 1982,IPCA - Variação acumulada em 12 meses,96.29,%
março 1982,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000358057,Número-índice
março 1982,IPCA - Variação mensal,5.71,%
março 1982,IPCA - Variação acumulada em 3 meses,20.58,%
março 1982,IPCA - Variação acumulada em 6 meses,41.28,%
março 1982,IPCA - Variação acumulada no ano,20.58,%
março 1982,IPCA - Variação acumulada em 12 meses,97.68,%
abril 1982,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000379137,Número-índice
abril 1982,IPCA - Variação mensal,5.89,%
abril 1982,IPCA - Variação acumulada em 3 meses,19.37,%
abril 1982,IPCA - Variação acumulada em 6 meses,42.37,%
abril 1982,IPCA - Variação acumulada no ano,27.68,%
abril 1982,IPCA - Variação acumulada em 12 meses,96.61,%
maio 1982,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000404382,Número-índice
maio 1982,IPCA - Variação mensal,6.66,%
maio 1982,IPCA - Variação acumulada em 3 meses,19.39,%
maio 1982,IPCA - Variação acumulada em 6 meses,44.25,%
maio 1982,IPCA - Variação acumulada no ano,36.18,%
maio 1982,IPCA - Variação acumulada em 12 meses,98.65,%
junho 1982,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000433113,Número-índice
junho 1982,IPCA - Variação mensal,7.10,%
junho 1982,IPCA - Variação acumulada em 3 meses,20.96,%
junho 1982,IPCA - Variação acumulada em 6 meses,45.86,%
junho 1982,IPCA - Variação acumulada no ano,45.86,%
junho 1982,IPCA - Variação acumulada em 12 meses,101.64,%
julho 1982,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000460650,Número-índice
julho 1982,IPCA - Variação mensal,6.36,%
julho 1982,IPCA - Variação acumulada em 3 meses,21.50,%
julho 1982,IPCA - Variação acumulada em 6 meses,45.03,%
julho 1982,IPCA - Variação acumulada no ano,55.13,%
julho 1982,IPCA - Variação acumulada em 12 meses,101.84,%
agosto 1982,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000488164,Número-índice
agosto 1982,IPCA - Variação mensal,5.97,%
agosto 1982,IPCA - Variação acumulada em 3 meses,20.72,%
agosto 1982,IPCA - Variação acumulada em 6 meses,44.13,%
agosto 1982,IPCA - Variação acumulada no ano,64.39,%
agosto 1982,IPCA - Variação acumulada em 12 meses,102.75,%
setembro 1982,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000512964,Número-índice
setembro 1982,IPCA - Variação mensal,5.08,%
setembro 1982,IPCA - Variação acumulada em 3 meses,18.44,%
setembro 1982,IPCA - Variação acumulada em 6 meses,43.26,%
setembro 1982,IPCA - Variação acumulada no ano,72.75,%
setembro 1982,IPCA - Variação acumulada em 12 meses,102.41,%
outubro 1982,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000535752,Número-índice
outubro 1982,IPCA - Variação mensal,4.44,%
outubro 1982,IPCA - Variação acumulada em 3 meses,16.30,%
outubro 1982,IPCA - Variação acumulada em 6 meses,41.31,%
outubro 1982,IPCA - Variação acumulada no ano,80.42,%
outubro 1982,IPCA - Variação acumulada em 12 meses,101.19,%
novembro 1982,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000564085,Número-índice
novembro 1982,IPCA - Variação mensal,5.29,%
novembro 1982,IPCA - Variação acumulada em 3 meses,15.55,%
novembro 1982,IPCA - Variação acumulada em 6 meses,39.49,%
novembro 1982,IPCA - Variação acumulada no ano,89.96,%
novembro 1982,IPCA - Variação acumulada em 12 meses,101.22,%
dezembro 1982,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000608117,Número-índice
dezembro 1982,IPCA - Variação mensal,7.81,%
dezembro 1982,IPCA - Variação acumulada em 3 meses,18.55,%
dezembro 1982,IPCA - Variação acumulada em 6 meses,40.41,%
dezembro 1982,IPCA - Variação acumulada no ano,104.79,%
dezembro 1982,IPCA - Variação acumulada em 12 meses,104.79,%
janeiro 1983,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000660665,Número-índice
janeiro 1983,IPCA - Variação mensal,8.64,%
janeiro 1983,IPCA - Variação acumulada em 3 meses,23.32,%
janeiro 1983,IPCA - Variação acumulada em 6 meses,43.42,%
janeiro 1983,IPCA - Variação acumulada no ano,8.64,%
janeiro 1983,IPCA - Variação acumulada em 12 meses,108.00,%
fevereiro 1983,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000712581,Número-índice
fevereiro 1983,IPCA - Variação mensal,7.86,%
fevereiro 1983,IPCA - Variação acumulada em 3 meses,26.33,%
fevereiro 1983,IPCA - Variação acumulada em 6 meses,45.97,%
fevereiro 1983,IPCA - Variação acumulada no ano,17.18,%
fevereiro 1983,IPCA - Variação acumulada em 12 meses,110.38,%
