Mês,Variável,Valor,Un
junho 1990,IPCA - Variação acumulada em 6 meses,645.88,%
junho 1990,IPCA - Variação acumulada no ano,645.88,%
junho 1990,IPCA - Variação acumulada em 12 meses,5385.43,%
julho 1990,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0271994704920,Número-índice
julho 1990,IPCA - Variação mensal,12.92,%
julho 1990,IPCA - Variação acumulada em 3 meses,35.77,%
julho 1990,IPCA - Variação acumulada em 6 meses,402.68,%
julho 1990,IPCA - Variação acumulada no ano,742.25,%
julho 1990,IPCA - Variação acumulada em 12 meses,4749.03,%
agosto 1990,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0307027623187,Número-índice
agosto 1990,IPCA - Variação mensal,12.88,%
agosto 1990,IPCA - Variação acumulada em 3 meses,42.44,%
agosto 1990,IPCA - Variação acumulada em 6 meses,222.90,%
agosto 1990,IPCA - Variação acumulada no ano,850.73,%
agosto 1990,IPCA - Variação acumulada em 12 meses,3993.62,%
setembro 1990,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0351270304097,Número-índice
setembro 1990,IPCA - Variação mensal,14.41,%
setembro 1990,IPCA - Variação acumulada em 3 meses,45.83,%
setembro 1990,IPCA - Variação acumulada em 6 meses,102.55,%
setembro 1990,IPCA - Variação acumulada no ano,987.73,%
setembro 1990,IPCA - Variação acumulada em 12 meses,3304.71,%
outubro 1990,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0401712720553,Número-índice
outubro 1990,IPCA - Variação mensal,14.36,%
outubro 1990,IPCA - Variação acumulada em 3 meses,47.69,%
outubro 1990,IPCA - Variação acumulada em 6 meses,100.51,%
outubro 1990,IPCA - Variação acumulada no ano,1143.92,%
outubro 1990,IPCA - Variação acumulada em 12 meses,2685.74,%
novembro 1990,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0469240627842,Número-índice
novembro 1990,IPCA - Variação mensal,16.81,%
novembro 1990,IPCA - Variação acumulada em 3 meses,52.83,%
novembro 1990,IPCA - Variação acumulada em 6 meses,117.70,%
novembro 1990,IPCA - Variação acumulada no ano,1353.03,%
novembro 1990,IPCA - Variação acumulada em 12 meses,2101.34,%
dezembro 1990,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0555768600186,Número-índice
dezembro 1990,IPCA - Variação mensal,18.44,%
dezembro 1990,IPCA - Variação acumulada em 3 meses,58.22,%
dezembro 1990,IPCA - Variação acumulada em 6 meses,130.73,%
dezembro 1990,IPCA - Variação acumulada no ano,1620.97,%
dezembro 1990,IPCA - Variação acumulada em 12 meses,1620.97,%
janeiro 1991,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0671090584724,Número-índice
janeiro 1991,IPCA - Variação mensal,20.75,%
janeiro 1991,IPCA - Variação acumulada em 3 meses,67.06,%
janeiro 1991,IPCA - Variação acumulada em 6 meses,146.73,%
janeiro 1991,IPCA - Variação acumulada no ano,20.75,%
janeiro 1991,IPCA - Variação acumulada em 12 meses,1140.27,%
fevereiro 1991,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0810143888491,Número-índice
fevereiro 1991,IPCA - Variação mensal,20.72,%
fevereiro 1991,IPCA - Variação acumulada em 3 meses,72.65,%
fevereiro 1991,IPCA - Variação acumulada em 6 meses,163.87,%
fevereiro 1991,IPCA - Variação acumulada no ano,45.77,%
fevereiro 1991,IPCA - Variação acumulada em 12 meses,752.02,%
março 1991,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0906736471203,Número-índice
março 1991,IPCA - Variação mensal,11.92,%
março 1991,IPCA - Variação acumulada em 3 meses,63.15,%
março 1991,IPCA - Variação acumulada em 6 meses,158.13,%
março 1991,IPCA - Variação acumulada no ano,63.15,%
março 1991,IPCA - Variação acumulada em 12 meses,422.84,%
abril 1991,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0951976035258,Número-índice
abril 1991,IPCA - Variação mensal,4.99,%
abril 1991,IPCA - Variação acumulada em 3 meses,41.86,%
abril 1991,IPCA - Variação acumulada em 6 meses,136.98,%
abril 1991,IPCA - Variação acumulada no ano,71.29,%
abril 1991,IPCA - Variação acumulada em 12 meses,375.18,%
maio 1991,IPCA - Número-índice (base: dezembro de 1993 = 100),0.1022725378062,Número-índice
maio 1991,IPCA - Variação mensal,7.43,%
maio 1991,IPCA - Variação acumulada em 3 meses,26.24,%
maio 1991,IPCA - Variação acumulada em 6 meses,117.95,%
maio 1991,IPCA - Variação acumulada no ano,84.02,%
maio 1991,IPCA - Variação acumulada em 12 meses,374.48,%
junho 1991,IPCA - Número-índice (base: dezembro de 1993 = 100),0.1137158132840,Número-índice
junho 1991,IPCA - Variação mensal,11.19,%
junho 1991,IPCA - Variação acumulada em 3 meses,25.41,%
junho 1991,IPCA - Variação acumulada em 6 meses,104.61,%
junho 1991,IPCA - Variação acumulada no ano,104.61,%
junho 1991,IPCA - Variação acumulada em 12 meses,372.10,%
julho 1991,IPCA - Número-índice (base: dezembro de 1993 = 100),0.1278267780427,Número-índice
julho 1991,IPCA - Variação mensal,12.41,%
julho 1991,IPCA - Variação acumulada em 3 meses,34.28,%
julho 1991,IPCA - Variação acumulada em 6 meses,90.48,%
julho 1991,IPCA - Variação acumulada no ano,130.00,%
julho 1991,IPCA - Variação acumulada em 12 meses,369.96,%
agosto 1991,IPCA - Número-índice (base: dezembro de 1993 = 100),0.1478066592194,Número-índice
agosto 1991,IPCA - Variação mensal,15.63,%
agosto 1991,IPCA - Variação acumulada em 3 meses,44.52,%
agosto 1991,IPCA - Variação acumulada em 6 meses,82.44,%
agosto 1991,IPCA - Variação acumulada no ano,165.95,%
agosto 1991,IPCA - Variação acumulada em 12 meses,381.41,%
setembro 1991,IPCA - Número-índice (base: dezembro de 1993 = 100),0.1709099599291,Número-índice
setembro 1991,IPCA - Variação mensal,15.63,%
setembro 1991,IPCA - Variação acumulada em 3 meses,50.30,%
setembro 1991,IPCA - Variação acumulada em 6 meses,88.49,%
setembro 1991,IPCA - Variação acumulada no ano,207.52,%
setembro 1991,IPCA - Variação acumulada em 12 meses,386.55,%
outubro 1991,IPCA - Número-índice (base: dezembro de 1993 = 100),0.2054843245466,Número-índice
outubro 1991,IPCA - Variação mensal,20.23,%
outubro 1991,IPCA - Variação acumulada em 3 meses,60.75,%
outubro 1991,IPCA - Variação acumulada em 6 meses,115.85,%
outubro 1991,IPCA - Variação acumulada no ano,269.73,%
outubro 1991,IPCA - Variação acumulada em 12 meses,411.52,%
novembro 1991,IPCA - Número-índice (base: dezembro de 1993 = 100),0.2572875157699,Número-índice
novembro 1991,IPCA - Variação mensal,25.21,%
novembro 1991,IPCA - Variação acumulada em 3 meses,74.07,%
novembro 1991,IPCA - Variação acumulada em 6 meses,151.57,%
novembro 1991,IPCA - Variação acumulada no ano,362.94,%
novembro 1991,IPCA - Variação acumulada em 12 meses,448.31,%
dezembro 1991,IPCA - Número-índice (base: dezembro de 1993 = 100),0.3182886773263,Número-índice
dezembro 1991,IPCA - Variação mensal,23.71,%
dezembro 1991,IPCA - Variação acumulada em 3 meses,86.23,%
dezembro 1991,IPCA - Variação acumulada em 6 meses,179.90,%
dezembro 1991,IPCA - Variação acumulada no ano,472.70,%
dezembro 1991,IPCA - Variação acumulada em 12 meses,472.70,%
janeiro 1992,IPCA - Número-índice (base: dezembro de 1993 = 100),0.4008536605699,Número-índice
janeiro 1992,IPCA - Variação mensal,25.94,%
janeiro 1992,IPCA - Variação acumulada em 3 meses,95.08,%
janeiro 1992,IPCA - Variação acumulada em 6 meses,213.59,%
janeiro 1992,IPCA - Variação acumulada no ano,25.94,%
janeiro 1992,IPCA - Variação acumulada em 12 meses,497.32,%
fevereiro 1992,IPCA - Número-índice (base: dezembro de 1993 = 100),0.4983410307284,Número-índice
fevereiro 1992,IPCA - Variação mensal,24.32,%
fevereiro 1992,IPCA - Variação acumulada em 3 meses,93.69,%
fevereiro 1992,IPCA - Variação acumulada em 6 meses,237.16,%
fevereiro 1992,IPCA - Variação acumulada no ano,56.57,%
fevereiro 1992,IPCA - Variação acumulada em 12 meses,515.13,%
março 1992,IPCA - Número-índice (base: dezembro de 1993 = 100),0.6049874674181,Número-índice
março 1992,IPCA - Variação mensal,21.40,%
março 1992,IPCA - Variação acumulada em 3 meses,90.08,%
março 1992,IPCA - Variação acumulada em 6 meses,253.98,%
março 1992,IPCA - Variação acumulada no ano,90.08,%
março 1992,IPCA - Variação acumulada em 12 meses,567.21,%
abril 1992,IPCA - Número-índice (base: dezembro de 1993 = 100),0.7255614652283,Número-índice
abril 1992,IPCA - Variação mensal,19.93,%
abril 1992,IPCA - Variação acumulada em 3 meses,81.00,%
abril 1992,IPCA - Variação acumulada em 6 meses,253.10,%
abril 1992,IPCA - Variação acumulada no ano,127.96,%
abril 1992,IPCA - Variação acumulada em 12 meses,662.16,%
maio 1992,IPCA - Número-índice (base: dezembro de 1993 = 100),0.9059361644186,Número-índice
maio 1992,IPCA - Variação mensal,24.86,%
maio 1992,IPCA - Variação acumulada em 3 meses,81.79,%
maio 1992,IPCA - Variação acumulada em 6 meses,252.11,%
maio 1992,IPCA - Variação acumulada no ano,184.63,%
maio 1992,IPCA - Variação acumulada em 12 meses,785.81,%
junho 1992,IPCA - Número-índice (base: dezembro de 1993 = 100),1.0890285720637,Número-índice
junho 1992,IPCA - Variação mensal,20.21,%
junho 1992,IPCA - Variação acumulada em 3 meses,80.01,%
junho 1992,IPCA - Variação acumulada em 6 meses,242.15,%
junho 1992,IPCA - Variação acumulada no ano,242.15,%
junho 1992,IPCA - Variação acumulada em 12 meses,857.68,%
julho 1992,IPCA - Número-índice (base: dezembro de 1993 = 100),1.3267641484791,Número-índice
julho 1992,IPCA - Variação mensal,21.83,%
julho 1992,IPCA - Variação acumulada em 3 meses,82.86,%
julho 1992,IPCA - Variação acumulada em 6 meses,230.98,%
julho 1992,IPCA - Variação acumulada no ano,316.84,%
julho 1992,IPCA - Variação acumulada em 12 meses,937.94,%
agosto 1992,IPCA - Número-índice (base: dezembro de 1993 = 100),1.6205100844213,Número-índice
agosto 1992,IPCA - Variação mensal,22.14,%
agosto 1992,IPCA - Variação acumulada em 3 meses,78.88,%
agosto 1992,IPCA - Variação acumulada em 6 meses,225.18,%
agosto 1992,IPCA - Variação acumulada no ano,409.13,%
agosto 1992,IPCA - Variação acumulada em 12 meses,996.37,%
setembro 1992,IPCA - Número-índice (base: dezembro de 1993 = 100),2.0196408623306,Número-índice
setembro 1992,IPCA - Variação mensal,24.63,%
setembro 1992,IPCA - Variação acumulada em 3 meses,85.45,%
setembro 1992,IPCA - Variação acumulada em 6 meses,233.83,%
setembro 1992,IPCA - Variação acumulada no ano,534.53,%
setembro 1992,IPCA - Variação acumulada em 12 meses,1081.70,%
outubro 1992,IPCA - Número-índice (base: dezembro de 1993 = 100),2.5293973801068,Número-índice
outubro 1992,IPCA - Variação mensal,25.24,%
outubro 1992,IPCA - Variação acumulada em 3 meses,90.64,%
outubro 1992,IPCA - Variação acumulada em 6 meses,248.61,%
outubro 1992,IPCA - Variação acumulada no ano,694.69,%
outubro 1992,IPCA - Variação acumulada em 12 meses,1130.94,%
novembro 1992,IPCA - Número-índice (base: dezembro de 1993 = 100),3.0982598885128,Número-índice
novembro 1992,IPCA - Variação mensal,22.49,%
novembro 1992,IPCA - Variação acumulada em 3 meses,91.19,%
novembro 1992,IPCA - Variação acumulada em 6 meses,242.00,%
novembro 1992,IPCA - Variação acumulada no ano,873.41,%
novembro 1992,IPCA - Variação acumulada em 12 meses,1104.20,%
dezembro 1992,IPCA - Número-índice (base: dezembro de 1993 = 100),3.8802596550900,Número-índice
dezembro 1992,IPCA - Variação mensal,25.24,%
dezembro 1992,IPCA - Variação acumulada em 3 meses,92.13,%
dezembro 1992,IPCA - Variação acumulada em 6 meses,256.30,%
dezembro 1992,IPCA - Variação acumulada no ano,1119.10,%
dezembro 1992,IPCA - Variação acumulada em 12 meses,1119.10,%
janeiro 1993,IPCA - Número-índice (base: dezembro de 1993 = 100),5.0579166458253,Número-índice
janeiro 1993,IPCA - Variação mensal,30.35,%
janeiro 1993,IPCA - Variação acumulada em 3 meses,99.97,%
janeiro 1993,IPCA - Variação acumulada em 6 meses,281.22,%
janeiro 1993,IPCA - Variação acumulada no ano,30.35,%
janeiro 1993,IPCA - Variação acumulada em 12 meses,1161.79,%
fevereiro 1993,IPCA - Número-índice (base: dezembro de 1993 = 100),6.3213843084293,Número-índice
fevereiro 1993,IPCA - Variação mensal,24.98,%
fevereiro 1993,IPCA - Variação acumulada em 3 meses,104.03,%
fevereiro 1993,IPCA - Variação acumulada em 6 meses,290.09,%
fevereiro 1993,IPCA - Variação acumulada no ano,62.91,%
fevereiro 1993,IPCA - Variação acumulada em 12 meses,1168.49,%
março 1993,IPCA - Número-índice (base: dezembro de 1993 = 100),8.0445948724789,Número-índice
março 1993,IPCA - Variação mensal,27.26,%
março 1993,IPCA - Variação acumulada em 3 meses,107.32,%
março 1993,IPCA - Variação acumulada em 6 meses,298.32,%
março 1993,IPCA - Variação acumulada no ano,107.32,%
março 1993,IPCA - Variação acumulada em 12 meses,1229.71,%
abril 1993,IPCA - Número-índice (base: dezembro de 1993 = 100),10.2769672819025,Número-índice
abril 1993,IPCA - Variação mensal,27.75,%
abril 1993,IPCA - Variação acumulada em 3 meses,103.19,%
abril 1993,IPCA - Variação acumulada em 6 meses,306.30,%
abril 1993,IPCA - Variação acumulada no ano,164.85,%
abril 1993,IPCA - Variação acumulada em 12 meses,1316.42,%
maio 1993,IPCA - Número-índice (base: dezembro de 1993 = 100),13.1226581300609,Número-índice
maio 1993,IPCA - Variação mensal,27.69,%
maio 1993,IPCA - Variação acumulada em 3 meses,107.59,%
maio 1993,IPCA - Variação acumulada em 6 meses,323.55,%
maio 1993,IPCA - Variação acumulada no ano,238.19,%
maio 1993,IPCA - Variação acumulada em 12 meses,1348.52,%
junho 1993,IPCA - Número-índice (base: dezembro de 1993 = 100),17.0686429798089,Número-índice
junho 1993,IPCA - Variação mensal,30.07,%
junho 1993,IPCA - Variação acumulada em 3 meses,112.18,%
junho 1993,IPCA - Variação acumulada em 6 meses,339.88,%
junho 1993,IPCA - Variação acumulada no ano,339.88,%
junho 1993,IPCA - Variação acumulada em 12 meses,1467.33,%
julho 1993,IPCA - Número-índice (base: dezembro de 1993 = 100),22.3121307612362,Número-índice
julho 1993,IPCA - Variação mensal,30.72,%
julho 1993,IPCA - Variação acumulada em 3 meses,117.11,%
julho 1993,IPCA - Variação acumulada em 6 meses,341.13,%
julho 1993,IPCA - Variação acumulada no ano,475.02,%
julho 1993,IPCA - Variação acumulada em 12 meses,1581.70,%
agosto 1993,IPCA - Número-índice (base: dezembro de 1993 = 100),29.6662109364145,Número-índice
agosto 1993,IPCA - Variação mensal,32.96,%
agosto 1993,IPCA - Variação acumulada em 3 meses,126.07,%
agosto 1993,IPCA - Variação acumulada em 6 meses,369.30,%
agosto 1993,IPCA - Variação acumulada no ano,664.54,%
agosto 1993,IPCA - Variação acumulada em 12 meses,1730.67,%
setembro 1993,IPCA - Número-índice (base: dezembro de 1993 = 100),40.2540807309468,Número-índice
setembro 1993,IPCA - Variação mensal,35.69,%
setembro 1993,IPCA - Variação acumulada em 3 meses,135.84,%
setembro 1993,IPCA - Variação acumulada em 6 meses,400.39,%
setembro 1993,IPCA - Variação acumulada no ano,937.41,%
setembro 1993,IPCA - Variação acumulada em 12 meses,1893.13,%
outubro 1993,IPCA - Número-índice (base: dezembro de 1993 = 100),53.9082648348533,Número-índice
outubro 1993,IPCA - Variação mensal,33.92,%
outubro 1993,IPCA - Variação acumulada em 3 meses,141.61,%
outubro 1993,IPCA - Variação acumulada em 6 meses,424.55,%
outubro 1993,IPCA - Variação acumulada no ano,1289.30,%
outubro 1993,IPCA - Variação acumulada em 12 meses,2031.27,%
novembro 1993,IPCA - Número-índice (base: dezembro de 1993 = 100),73.0780465845240,Número-índice
novembro 1993,IPCA - Variação mensal,35.56,%
novembro 1993,IPCA - Variação acumulada em 3 meses,146.33,%
novembro 1993,IPCA - Variação acumulada em 6 meses,456.88,%
novembro 1993,IPCA - Variação acumulada no ano,1783.33,%
novembro 1993,IPCA - Variação acumulada em 12 meses,2258.68,%
dezembro 1993,IPCA - Número-índice (base: dezembro de 1993 = 100),100.0000000000000,Número-índice
dezembro 1993,IPCA - Variação mensal,36.84,%
dezembro 1993,IPCA - Variação acumulada em 3 meses,148.42,%
dezembro 1993,IPCA - Variação acumulada em 6 meses,485.87,%
dezembro 1993,IPCA - Variação acumulada no ano,2477.15,%
dezembro 1993,IPCA - Variação acumulada em 12 meses,2477.15,%
janeiro 1994,IPCA - Número-índice (base: dezembro de 1993 = 100),141.3100000000000,Número-índice
janeiro 1994,IPCA - Variação mensal,41.31,%
janeiro 1994,IPCA - Variação acumulada em 3 meses,162.13,%
janeiro 1994,IPCA - Variação acumulada em 6 meses,533.33,%
janeiro 1994,IPCA - Variação acumulada no ano,41.31,%
janeiro 1994,IPCA - Variação acumulada em 12 meses,2693.84,%
fevereiro 1994,IPCA - Número-índice (base: dezembro de 1993 = 100),198.2200000000000,Número-índice
fevereiro 1994,IPCA - Variação mensal,40.27,%
fevereiro 1994,IPCA - Variação acumulada em 3 meses,171.24,%
fevereiro 1994,IPCA - Variação acumulada em 6 meses,568.17,%
fevereiro 1994,IPCA - Variação acumulada no ano,98.22,%
fevereiro 1994,IPCA - Variação acumulada em 12 meses,3035.71,%
março 1994,IPCA - Número-índice (base: dezembro de 1993 = 100),282.9600000000000,Número-índice
março 1994,IPCA - Variação mensal,42.75,%
março 1994,IPCA - Variação acumulada em 3 meses,182.96,%
março 1994,IPCA - Variação acumulada em 6 meses,602.93,%
março 1994,IPCA - Variação acumulada no ano,182.96,%
março 1994,IPCA - Variação acumulada em 12 meses,3417.39,%
abril 1994,IPCA - Número-índice (base: dezembro de 1993 = 100),403.7300000000000,Número-índice
abril 1994,IPCA - Variação mensal,42.68,%
abril 1994,IPCA - Variação acumulada em 3 meses,185.71,%
abril 1994,IPCA - Variação acumulada em 6 meses,648.92,%
abril 1994,IPCA - Variação acumulada no ano,303.73,%
abril 1994,IPCA - Variação acumulada em 12 meses,3828.49,%
maio 1994,IPCA - Número-índice (base: dezembro de 1993 = 100),581.4900000000000,Número-índice
maio 1994,IPCA - Variação mensal,44.03,%
maio 1994,IPCA - Variação acumulada em 3 meses,193.36,%
maio 1994,IPCA - Variação acumulada em 6 meses,695.71,%
maio 1994,IPCA - Variação acumulada no ano,481.49,%
maio 1994,IPCA - Variação acumulada em 12 meses,4331.19,%
junho 1994,IPCA - Número-índice (base: dezembro de 1993 = 100),857.2900000000000,Número-índice
junho 1994,IPCA - Variação mensal,47.43,%
junho 1994,IPCA - Variação acumulada em 3 meses,202.97,%
junho 1994,IPCA - Variação acumulada em 6 meses,757.29,%
junho 1994,IPCA - Variação acumulada no ano,757.29,%
junho 1994,IPCA - Variação acumulada em 12 meses,4922.60,%
julho 1994,IPCA - Número-índice (base: dezembro de 1993 = 100),915.9300000000000,Número-índice
julho 1994,IPCA - Variação mensal,6.84,%
julho 1994,IPCA - Variação acumulada em 3 meses,126.87,%
julho 1994,IPCA - Variação acumulada em 6 meses,548.17,%
julho 1994,IPCA - Variação acumulada no ano,815.93,%
julho 1994,IPCA - Variação acumulada em 12 meses,4005.08,%
agosto 1994,IPCA - Número-índice (base: dezembro de 1993 = 100),932.9700000000000,Número-índice
agosto 1994,IPCA - Variação mensal,1.86,%
agosto 1994,IPCA - Variação acumulada em 3 meses,60.44,%
agosto 1994,IPCA - Variação acumulada em 6 meses,370.67,%
agosto 1994,IPCA - Variação acumulada no ano,832.97,%
agosto 1994,IPCA - Variação acumulada em 12 meses,3044.89,%
setembro 1994,IPCA - Número-índice (base: dezembro de 1993 = 100),947.2400000000000,Número-índice
setembro 1994,IPCA - Variação mensal,1.53,%
setembro 1994,IPCA - Variação acumulada em 3 meses,10.49,%
setembro 1994,IPCA - Variação acumulada em 6 meses,234.76,%
setembro 1994,IPCA - Variação acumulada no ano,847.24,%
setembro 1994,IPCA - Variação acumulada em 12 meses,2253.15,%
outubro 1994,IPCA - Número-índice (base: dezembro de 1993 = 100),972.0600000000000,Número-índice
outubro 1994,IPCA - Variação mensal,2.62,%
outubro 1994,IPCA - Variação acumulada em 3 meses,6.13,%
outubro 1994,IPCA - Variação acumulada em 6 meses,140.77,%
outubro 1994,IPCA - Variação acumulada no ano,872.06,%
outubro 1994,IPCA - Variação acumulada em 12 meses,1703.17,%
novembro 1994,IPCA - Número-índice (base: dezembro de 1993 = 100),999.3700000000000,Número-índice
novembro 1994,IPCA - Variação mensal,2.81,%
novembro 1994,IPCA - Variação acumulada em 3 meses,7.12,%
novembro 1994,IPCA - Variação acumulada em 6 meses,71.86,%
novembro 1994,IPCA - Variação acumulada no ano,899.37,%
novembro 1994,IPCA - Variação acumulada em 12 meses,1267.54,%
dezembro 1994,IPCA - Número-índice (base: dezembro de 1993 = 100),1016.4600000000000,Número-índice
dezembro 1994,IPCA - Variação mensal,1.71,%
dezembro 1994,IPCA - Variação acumulada em 3 meses,7.31,%
dezembro 1994,IPCA - Variação acumulada em 6 meses,18.57,%
dezembro 1994,IPCA - Variação acumulada no ano,916.46,%
dezembro 1994,IPCA - Variação acumulada em 12 meses,916.46,%
janeiro 1995,IPCA - Número-índice (base: dezembro de 1993 = 100),1033.7400000000000,Número-índice
janeiro 1995,IPCA - Variação mensal,1.70,%
janeiro 1995,IPCA - Variação acumulada em 3 meses,6.35,%
janeiro 1995,IPCA - Variação acumulada em 6 meses,12.86,%
janeiro 1995,IPCA - Variação acumulada no ano,1.70,%
janeiro 1995,IPCA - Variação acumulada em 12 meses,631.54,%
fevereiro 1995,IPCA - Número-índice (base: dezembro de 1993 = 100),1044.2800000000000,Número-índice
fevereiro 1995,IPCA - Variação mensal,1.02,%
fevereiro 1995,IPCA - Variação acumulada em 3 meses,4.49,%
fevereiro 1995,IPCA - Variação acumulada em 6 meses,11.93,%
fevereiro 1995,IPCA - Variação acumulada no ano,2.74,%
fevereiro 1995,IPCA - Variação acumulada em 12 meses,426.83,%
março 1995,IPCA - Número-índice (base: dezembro de 1993 = 100),1060.4700000000000,Número-índice
março 1995,IPCA - Variação mensal,1.55,%
março 1995,IPCA - Variação acumulada em 3 meses,4.33,%
março 1995,IPCA - Variação acumulada em 6 meses,11.95,%
março 1995,IPCA - Variação acumulada no ano,4.33,%
março 1995,IPCA - Variação acumulada em 12 meses,274.78,%
abril 1995,IPCA - Número-índice (base: dezembro de 1993 = 100),1086.2400000000000,Número-índice
abril 1995,IPCA - Variação mensal,2.43,%
abril 1995,IPCA - Variação acumulada em 3 meses,5.08,%
abril 1995,IPCA - Variação acumulada em 6 meses,11.75,%
abril 1995,IPCA - Variação acumulada no ano,6.87,%
abril 1995,IPCA - Variação acumulada em 12 meses,169.05,%
maio 1995,IPCA - Número-índice (base: dezembro de 1993 = 100),1115.2400000000000,Número-índice
maio 1995,IPCA - Variação mensal,2.67,%
maio 1995,IPCA - Variação acumulada em 3 meses,6.80,%
maio 1995,IPCA - Variação acumulada em 6 meses,11.59,%
maio 1995,IPCA - Variação acumulada no ano,9.72,%
maio 1995,IPCA - Variação acumulada em 12 meses,91.79,%
junho 1995,IPCA - Número-índice (base: dezembro de 1993 = 100),1140.4400000000000,Número-índice
junho 1995,IPCA - Variação mensal,2.26,%
junho 1995,IPCA - Variação acumulada em 3 meses,7.54,%
junho 1995,IPCA - Variação acumulada em 6 meses,12.20,%
junho 1995,IPCA - Variação acumulada no ano,12.20,%
junho 1995,IPCA - Variação acumulada em 12 meses,33.03,%
julho 1995,IPCA - Número-índice (base: dezembro de 1993 = 100),1167.3500000000000,Número-índice
julho 1995,IPCA - Variação mensal,2.36,%
julho 1995,IPCA - Variação acumulada em 3 meses,7.47,%
julho 1995,IPCA - Variação acumulada em 6 meses,12.92,%
julho 1995,IPCA - Variação acumulada no ano,14.84,%
julho 1995,IPCA - Variação acumulada em 12 meses,27.45,%
agosto 1995,IPCA - Número-índice (base: dezembro de 1993 = 100),1178.9100000000000,Número-índice
agosto 1995,IPCA - Variação mensal,0.99,%
agosto 1995,IPCA - Variação acumulada em 3 meses,5.71,%
agosto 1995,IPCA - Variação acumulada em 6 meses,12.89,%
agosto 1995,IPCA - Variação acumulada no ano,15.98,%
agosto 1995,IPCA - Variação acumulada em 12 meses,26.36,%
setembro 1995,IPCA - Número-índice (base: dezembro de 1993 = 100),1190.5800000000000,Número-índice
setembro 1995,IPCA - Variação mensal,0.99,%
setembro 1995,IPCA - Variação acumulada em 3 meses,4.40,%
setembro 1995,IPCA - Variação acumulada em 6 meses,12.27,%
setembro 1995,IPCA - Variação acumulada no ano,17.13,%
setembro 1995,IPCA - Variação acumulada em 12 meses,25.69,%
outubro 1995,IPCA - Número-índice (base: dezembro de 1993 = 100),1207.3700000000000,Número-índice
outubro 1995,IPCA - Variação mensal,1.41,%
outubro 1995,IPCA - Variação acumulada em 3 meses,3.43,%
outubro 1995,IPCA - Variação acumulada em 6 meses,11.15,%
outubro 1995,IPCA - Variação acumulada no ano,18.78,%
outubro 1995,IPCA - Variação acumulada em 12 meses,24.21,%
novembro 1995,IPCA - Número-índice (base: dezembro de 1993 = 100),1225.1200000000000,Número-índice
novembro 1995,IPCA - Variação mensal,1.47,%
novembro 1995,IPCA - Variação acumulada em 3 meses,3.92,%
novembro 1995,IPCA - Variação acumulada em 6 meses,9.85,%
novembro 1995,IPCA - Variação acumulada no ano,20.53,%
novembro 1995,IPCA - Variação acumulada em 12 meses,22.59,%
dezembro 1995,IPCA - Número-índice (base: dezembro de 1993 = 100),1244.2300000000000,Número-índice
dezembro 1995,IPCA - Variação mensal,1.56,%
dezembro 1995,IPCA - Variação acumulada em 3 meses,4.51,%
dezembro 1995,IPCA - Variação acumulada em 6 meses,9.10,%
dezembro 1995,IPCA - Variação acumulada no ano,22.41,%
dezembro 1995,IPCA - Variação acumulada em 12 meses,22.41,%
janeiro 1996,IPCA - Número-índice (base: dezembro de 1993 = 100),1260.9000000000000,Número-índice
janeiro 1996,IPCA - Variação mensal,1.34,%
janeiro 1996,IPCA - Variação acumulada em 3 meses,4.43,%
janeiro 1996,IPCA - Variação acumulada em 6 meses,8.01,%
janeiro 1996,IPCA - Variação acumulada no ano,1.34,%
janeiro 1996,IPCA - Variação acumulada em 12 meses,21.97,%
fevereiro 1996,IPCA - Número-índice (base: dezembro de 1993 = 100),1273.8900000000000,Número-índice
fevereiro 1996,IPCA - Variação mensal,1.03,%
fevereiro 1996,IPCA - Variação acumulada em 3 meses,3.98,%
fevereiro 1996,IPCA - Variação acumulada em 6 meses,8.06,%
fevereiro 1996,IPCA - Variação acumulada no ano,2.38,%
fevereiro 1996,IPCA - Variação acumulada em 12 meses,21.99,%
março 1996,IPCA - Número-índice (base: dezembro de 1993 = 100),1278.3500000000000,Número-índice
março 1996,IPCA - Variação mensal,0.35,%
março 1996,IPCA - Variação acumulada em 3 meses,2.74,%
março 1996,IPCA - Variação acumulada em 6 meses,7.37,%
março 1996,IPCA - Variação acumulada no ano,2.74,%
março 1996,IPCA - Variação acumulada em 12 meses,20.55,%
abril 1996,IPCA - Número-índice (base: dezembro de 1993 = 100),1294.4600000000000,Número-índice
abril 1996,IPCA - Variação mensal,1.26,%
abril 1996,IPCA - Variação acumulada em 3 meses,2.66,%
abril 1996,IPCA - Variação acumulada em 6 meses,7.21,%
abril 1996,IPCA - Variação acumulada no ano,4.04,%
abril 1996,IPCA - Variação acumulada em 12 meses,19.17,%
maio 1996,IPCA - Número-índice (base: dezembro de 1993 = 100),1310.2500000000000,Número-índice
maio 1996,IPCA - Variação mensal,1.22,%
maio 1996,IPCA - Variação acumulada em 3 meses,2.85,%
